v3,03/Jun/2026,08:18:26,UTC

SCRIPT
Name,Regress PRO EN
Description,
Created,21/Jun/2023,11:48:17

REPORT COMMENTS
(none)

,,,show,number
,,,show,tester
,,,show,date
,,,hide,time
,,,hide,tag filter
,,,show,build
""
,,,,pass
,,,,fail
,,,,blocked
,,,,tried

number,indent,text,tags,notes
326,3,Password is required to show the secret phrase,,
327,3,The wallet that was signed out of disappears from the wallet list,,
328,2,2FA,,
329,3, It is possible to enable 2FA for signing transactions via Telegram,,
330,3,Telegram account is linked successfully,,
331,3,A transaction can be confirmed in Telegram -> the transaction is signed and sent to blockchain,,
332,3,It is no longer possible to sign a transaction without confirming it in Telegram,,
333,3,It is no longer possible to sign a transaction without confirming it in Telegram,,
334,3,2FA can be unlinked -> verify that unlinking succeeded and transactions can now be signed without Telegram,,
335,2,,,
336,2,Import by Private key,,
337,3,It is possible to import a wallet by private key (enabled in the dev menu),,
338,2,,,
339,2,Deeplinks / QR code scanner,,
340,3,The scanner works from the address input screen (send flow),,
341,3,The browser requests camera access,,
342,3,"If access is not granted, the camera is dark (a placeholder can be added)",,
343,3,Transfer,,
344,4,ton://transfer/:walletid,,"Opens the pre-filled Send screen and offers user to enter the missing data
ton://transfer/<address>?amount=<nanocoins>&text=<url-encoded-utf8-text>

примеры:

ton://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n

ton://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?amount=10000

ton://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?text=just%20message

ton://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?amount=7000&text=just%20message"
345,4,tonkeeper://transfer/:walletid,,"Opens the pre-filled Send screen and offers user to enter the missing data
tonkeeper://transfer/<address>?amount=<nanocoins>&text=<url-encoded-utf8-text>

примеры:

tonkeeper://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n

tonkeeper://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?amount=10000

tonkeeper://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?text=just%20message

tonkeeper://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?amount=7000&text=just%20message
"
346,4,https://app.tonkeeper.com/transfer/:walletid,,"Opens the pre-filled Send screen and offers user to enter the missing data
https://app.tonkeeper.com/transfer/<address>?amount=<nanocoins>&text=<url-encoded-utf8-text>

примеры:

https://app.tonkeeper.com/transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n

https://app.tonkeeper.com/transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?amount=10000

https://app.tonkeeper.com/transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?text=just%20message

https://app.tonkeeper.com/transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?amount=7000&text=just%20message"
347,4,https://app.tonkeeper.com/transfer/:walletid?jetton=:address (also works with ton:// and tonkeeper://),,"Трансфер жетонов 

https://app.tonkeeper.com/transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?jetton=EQDlBqGI2r44jpnhYfEiJahU8b7Zoo3no13l6Q9H-AIJbAgo&amount=200000000

ton://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?jetton=EQDlBqGI2r44jpnhYfEiJahU8b7Zoo3no13l6Q9H-AIJbAgo&amount=200000000

tonkeeper://transfer/EQD2NmD_lH5f5u1Kj3KfGyTvhZSX0Eg6qp2a5IQUKXxOG21n?jetton=EQDlBqGI2r44jpnhYfEiJahU8b7Zoo3no13l6Q9H-AIJbAgo
"
348,4,"Different parameters can be filled in (amount, recipient, comment) *link examples are added in notes next to the deeplinks",,
349,4,All parameters are set in the corresponding fields,,
350,3,"When scanning an invalid/unsupported QR code - toast ""Unexpected QR Code""",,
351,2,,,
352,2,PRO Subscription,,
353,3,It is possible to subscribe with Get Tonkeeper PRO,,
354,3,Or it offers to subscribe when trying to use a PRO feature,,
355,3,"After payment, the subscription is activated successfully",,
356,3,The subscription can be cancelled in Settings -> Tonkeeper PRO -> Transfers,,
357,3,Recurring crypto payments (crypto subscription plugin),,"Дизайн - https://www.figma.com/design/JpzZCwMgxSCHkHeQGiaQXu/Tonkeeper?node-id=66929-115756&t=oEKLT3YiUpnPZTIH-0
https://github.com/tonkeeper/tonkeeper-web/pull/481"
358,4,iOS: Preferences => get TK Pro => Payment method 2 options: App Store & Crypto,,
359,4,"The subscription price changes dynamically: $ for in-app, TON for crypto",,
360,4,Changing the wallet succeeds,,
361,4,App Store subscription purchase succeeds,,
362,4,Crypto subscription purchase succeeds,,
363,4,Verify that payment is charged automatically after one month for the subscription,,
364,4,"The subscription is shared between wallet versions: on the backend the subscription is tied to the wallet public key, which is the same across several versions",,
365,4,"If an IAP subscription is purchased, it cannot be cancelled on desktop",,
366,3,,,
367,2,PRO features,,
368,3,Multisig Wallet,,
369,4,New multisig wallet,,
370,5,It is possible to create a multisig wallet,,
371,5,If the wallet does not have enough funds for multisig deployment - validation error,,
372,5,"The add wallet page contains ""Participants"", ""Wallet addresses"" blocks with the ""Add Participant"" button, ""Quorum"" + ""Create wallet"" button",,
373,5,Wallet field -> a wallet can be selected,,
374,5,Wallet field -> the wallet can be changed (selected from the list) - arrows can be used to select another management wallet,,
375,5,"Wallet customization - accepts emoji, letters, special characters",,
376,5,Tapping Save opens the PRO wallet main page; the newly created multisig wallet is displayed in the Multisig wallets tab,,
377,5,The created multisig wallet is displayed in the left sidebar with a MULTISIG badge under the host wallet,,
378,5,Wallet and Participants blocks,,
379,6,Wallet field -> selected wallet,,
380,6,Wallet address -> ctrl+c/ctrl+v works in the field,,
381,6,"Wallet address -> [wallet address], hex, dns can be entered",,
382,6,Wallet address -> validation works if the address field is filled incorrectly,,
383,6,Adding 2 identical wallet addresses -> a validation error appears,,
384,6,Adding a wallet address in the wrong format -> a validation error appears,,
385,6,Add participant -> a new wallet address field appears,,
386,5,Editing participants,,
387,6,Multiple Participants can be added,,
388,6,Any participant can be removed,,
389,6,A removed participant can be added again,,
390,5,Quorum block,,
391,6,Default value - 100% of participants,,
392,6,The default value changes dynamically until changed manually,,
393,6,"Options: 1, 2, 3, 4... participants",,
394,6,The selected number of participants is applied and saved,,
395,6,"Fewer participants than wallets can be selected, for example 75% - the wallet is created -> verify that 2 of 3 participants are required to sign",,
396,6,Select 3 participants -> finish adding the wallet -> complete a transaction -> verify that 3 participants are required to sign,,
397,6,Select 1 participant -> finish adding the wallet -> complete a transaction -> verify that 1 participant is required to sign,,
398,6,Adding more participants than addresses -> a validation error appears,,
399,5,Customize block,,
400,6,"After multisig wallet deployment, set icon/color and wallet name",,
401,4,Multisig Wallet functionality,,
402,5,Left toolbar - wallet list with version badges,,
403,5,"Right toolbar - tokens, collectibles, history, swap, Settings, Requests - if multisig is selected in the left toolbar",,
404,5,Verify adding existing multisig wallets,,
405,5,Multisig feature is available only with PRO subscription / trial,,
406,5,Host wallet,,
407,6,Multisig can be created -> host is a regular wallet / multi-account / Ledger / KeyStone / Signer,,
408,5,Transaction signatures,,
409,6,Signing is possible with a regular wallet / multi-account / Ledger / KeyStone / Signer,,
410,5,Multisig Wallets section,,
411,6,The section contains a list of all multisig wallets created under the corresponding host wallet,,
412,6,A multisig wallet can be pinned/unpinned,,
413,6,Tapping Open opens the multisig wallet,,
414,6,"For each multisig, name, address, and balance in TON are displayed",,
415,6,"For host wallets without a multisig, a button to create a multisig wallet and learn more about multisig is displayed",,
416,5,Multisig Settings,,
417,6,Multisig can be customized,,
418,6,Token list,,
419,6,Multisig wallet can be hidden,,
420,5,Requests,,
421,6,While in multisig -> Requests -> empty screen if there were no requests,,
422,6,A list of all requests is displayed,,
423,6,"Columns: created, status, quorum, action",,
424,6,"For orders in progress, Time left hh:mm:ss - countdown",,
425,6,"For orders in progress, the View button is active",,
426,6,"For Expired, Completed orders, the View button is inactive",,
427,6,"The transaction is displayed correctly: correct amount, token",,
428,6,The quorum participant count on the screen matches the count in the modal opened by tapping View,,
429,5,Actions,,
430,6,Sending a transaction -> opens the New Multi Signature Request creation modal,,
431,6,Multisig configuration can be changed (e.g. add/remove a participant) and confirmed in TonkeeperPRO,,
432,6,A transaction is sent from the host multisig wallet (the one used for deployment),,
433,6,A transaction is sent from a non-host multisig wallet (one of the signers),,
434,6,Multisend from multisig works,,
435,6,The dashboard displays multisigs,,
436,6,Standard dialog for creating regular transfers,,
437,6,"For signing existing orders, a dialog like Ton Connect for regular wallets",,
438,6,"For creating orders through Ton Connect, a dialog like Ton Connect for regular wallets",,
439,6,Re-voting is not possible,,
440,6,Cancelling your own signature is not possible,,
441,6,Other signers' voting results are visible to other signers in the wallet when tapping View,,
442,6,"Any multisig participant can complete a transaction, not only the host wallet under which the multisig was created",,
443,6,"The Actions column on the requests screen displays transactions correctly - USDT send, swap, NFT, etc.",,
444,5,New Multi Signature Request,,
445,6,The modal can be closed,,
446,6,The modal leads to selecting the time allowed for signing the transaction,,
447,6,Default is 1 hour,,
448,6,Another time can be selected - the selected time is used for the countdown,,
449,6,The Continue button leads to request creation,,
450,6,Status In Progress,,
451,7,Status is highlighted in green (time),,
452,7,The modal matches the design (opens when tapping View) - the transaction can be signed there,,
453,7,Status stays active until all signers have voted,,
454,7,"After the last signer votes, the status changes to Completed",,
455,7,The number of signers updates dynamically after signing the transaction,,
456,7,All participants can view transaction details and status in the modal by tapping View,,
457,7,Details can be viewed in tonviewer,,
458,6,Status Completed,,
459,7,Status is gray,,
460,7,The modal matches the design (opens when tapping View),,
